Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,Date_Unix,Spread High-Low,Spread Close-Open,delta_Open,delta_High,delta_Low,delta_Close,delta_Spread High-Low,delta_Spread Close-Open,delta_Volume BTC,delta_Volume USD,MA_Close_24,MA_V_BTC_24,MA_Close_240,MA_V_BTC_240
2018-07-29 07-PM,BTCUSD,8209.99,8214.83,8205.19,8211.31,100.82,827607.51,1532890800000000000,9.64,1.32,18.7,2.38,13.9,1.32,-11.52,-17.38,-27.02,-220578.42,8198.635417,153.509583,7868.526458,403.313958
2018-07-29 08-PM,BTCUSD,8211.31,8214.83,8192.51,8193.33,133.98,1099242.28,1532894400000000000,22.32,-17.98,1.32,0.0,-12.68,-17.98,12.68,-19.3,33.16,271634.77,8199.853333,153.605833,7871.779875,401.87175
2018-07-29 09-PM,BTCUSD,8193.33,8205.0,8181.67,8191.51,140.04,1147876.8,1532898000000000000,23.33,-1.82,-17.98,-9.83,-10.84,-1.82,1.01,16.16,6.06,48634.52,8200.79125,155.637917,7874.936167,401.258042
2018-07-29 10-PM,BTCUSD,8191.51,8194.03,8178.66,8190.0,132.89,1087924.79,1532901600000000000,15.37,-1.51,-1.82,-10.97,-3.01,-1.51,-7.96,0.31,-7.15,-59952.01,8200.9525,156.59,7877.898583,398.241208
2018-07-29 11-PM,BTCUSD,8190.0,8270.0,8189.99,8216.34,551.43,4540317.06,1532905200000000000,80.01,26.34,-1.51,75.97,11.33,26.34,64.64,27.85,418.54,3452392.27,8200.429167,169.130417,7881.008292,398.953917
2018-07-30 12-AM,BTCUSD,8216.34,8216.34,8080.0,8160.0,788.87,6408999.23,1532908800000000000,136.34,-56.34,26.34,-53.66,-109.99,-56.34,56.33,-82.68,237.44,1868682.17,8196.60125,178.160417,7884.153958,399.770333
2018-07-30 01-AM,BTCUSD,8160.0,8274.92,8137.99,8209.41,569.56,4681600.35,1532912400000000000,136.93,49.41,-56.34,58.58,57.99,49.41,0.59,105.75,-219.31,-1727398.88,8194.457083,195.314583,7887.287792,400.972667
2018-07-30 02-AM,BTCUSD,8209.41,8210.0,8188.88,8193.0,164.02,1344797.28,1532916000000000000,21.12,-16.41,49.41,-64.92,50.89,-16.41,-115.81,-65.82,-405.54,-3336803.07,8192.307083,193.065833,7890.366042,400.898417
2018-07-30 03-AM,BTCUSD,8193.0,8213.34,8178.24,8182.68,115.05,943592.33,1532919600000000000,35.1,-10.32,-16.41,3.34,-10.64,-10.32,13.98,6.09,-48.97,-401204.95,8190.548333,193.09125,7893.393292,400.535417
2018-07-30 04-AM,BTCUSD,8182.68,8190.01,8164.75,8175.0,161.14,1317152.95,1532923200000000000,25.26,-7.68,-10.32,-23.33,-13.49,-7.68,-9.84,2.64,46.09,373560.62,8189.83625,192.976667,7896.450333,400.573208
2018-07-30 05-AM,BTCUSD,8175.0,8186.54,8171.51,8177.5,70.55,577065.55,1532926800000000000,15.03,2.5,-7.68,-3.47,6.76,2.5,-10.23,10.18,-90.59,-740087.4,8188.530833,190.265,7899.612208,400.252292
2018-07-30 06-AM,BTCUSD,8177.5,8180.0,8118.42,8136.33,253.97,2068269.85,1532930400000000000,61.58,-41.17,2.5,-6.54,-53.09,-41.17,46.55,-43.67,183.42,1491204.3,8185.697917,199.112917,7902.764958,400.031292
2018-07-30 07-AM,BTCUSD,8136.33,8150.0,8115.88,8150.0,237.9,1935537.46,1532934000000000000,34.12,13.67,-41.17,-30.0,-2.54,13.67,-27.46,54.84,-16.07,-132732.39,8184.5725,204.755417,7905.712875,400.331792
2018-07-30 08-AM,BTCUSD,8150.0,8182.02,8150.0,8156.2,79.91,652664.56,1532937600000000000,32.02,6.2,13.67,32.02,34.12,6.2,-2.1,-7.47,-157.99,-1282872.9,8184.483333,202.505417,7908.592875,400.011167
2018-07-30 09-AM,BTCUSD,8156.2,8165.0,8145.21,8154.88,70.39,574161.52,1532941200000000000,19.79,-1.32,6.2,-17.02,-4.79,-1.32,-12.23,-7.52,-9.52,-78503.04,8184.260833,203.033333,7911.571542,399.931375
2018-07-30 10-AM,BTCUSD,8154.88,8157.86,8134.79,8139.99,93.28,759807.17,1532944800000000000,23.07,-14.89,-1.32,-7.14,-10.42,-14.89,3.28,-13.57,22.89,185645.65,8184.009167,204.909583,7914.416167,399.947333
2018-07-30 11-AM,BTCUSD,8139.99,8155.04,8119.5,8155.03,140.17,1140365.53,1532948400000000000,35.54,15.04,-14.89,-2.82,-15.29,15.04,12.47,29.93,46.89,380558.36,8183.76375,207.32375,7917.187125,399.67275
2018-07-30 12-PM,BTCUSD,8155.03,8160.0,8125.0,8139.98,158.52,1290322.31,1532952000000000000,35.0,-15.05,15.04,4.96,5.5,-15.05,-0.54,-30.09,18.35,149956.78,8180.869583,207.890833,7920.032875,399.577375
2018-07-30 01-PM,BTCUSD,8139.98,8139.99,8096.96,8114.99,224.19,1820923.4,1532955600000000000,43.03,-24.99,-15.05,-20.01,-28.04,-24.99,8.03,-9.94,65.67,530601.09,8177.579167,212.1575,7922.702583,399.203167
2018-07-30 02-PM,BTCUSD,8114.99,8200.0,8114.99,8176.68,336.91,2743932.18,1532959200000000000,85.01,61.69,-24.99,60.01,18.03,61.69,41.98,86.68,112.72,923008.78,8176.014167,212.400417,7925.63225,399.083542
2018-07-30 03-PM,BTCUSD,8176.68,8180.0,8107.45,8115.0,370.87,3020350.74,1532962800000000000,72.55,-61.68,61.69,-20.0,-7.54,-61.68,-12.46,-123.37,33.96,276418.56,8171.587917,222.935,7928.346542,398.656125
2018-07-30 04-PM,BTCUSD,8115.0,8130.0,8069.23,8114.0,466.5,3777533.53,1532966400000000000,60.77,-1.0,-61.68,-50.0,-38.22,-1.0,-11.78,60.68,95.63,757182.79,8168.935,233.465,7931.012458,394.415875
2018-07-30 05-PM,BTCUSD,8114.0,8118.1,7880.5,7902.44,1511.02,12053568.84,1532970000000000000,237.6,-211.56,-1.0,-11.9,-188.73,-211.56,176.83,-210.56,1044.52,8276035.31,8156.899583,291.659167,7933.428125,395.236542
